"date","ratio"
"2009/3/4",1
"2009/3/5",1
"2009/3/6",1
"2009/3/9",1
"2009/3/10",1
"2009/3/11",1
"2009/3/12",1
"2009/3/13",1
"2009/3/16",1
"2009/3/17",1
"2009/3/18",1
"2009/3/19",1
"2009/3/20",1
"2009/3/23",1
"2009/3/24",1
"2009/3/25",1
"2009/3/26",1
"2009/3/27",1
"2009/3/30",1
"2009/3/31",1
"2009/4/1",1
"2009/4/2",1
"2009/4/3",1
"2009/4/6",1
"2009/4/7",1
"2009/4/8",1
"2009/4/9",1
"2009/4/10",1
"2009/4/13",1
"2009/4/14",1
"2009/4/15",1
"2009/4/16",1
"2009/4/17",1
"2009/4/20",1
"2009/4/21",1
"2009/4/22",1
"2009/4/23",1
"2009/4/24",1
"2009/4/27",1
"2009/4/28",1
"2009/4/29",1
"2009/4/30",0.9
"2009/5/4",0.9
"2009/5/5",0.9
"2009/5/6",0.9
"2009/5/7",0.95
"2009/5/8",1
"2009/5/11",1
"2009/5/12",1
"2009/5/13",1
"2009/5/14",1
"2009/5/15",1
"2009/5/18",1
"2009/5/19",1
"2009/5/20",1
"2009/5/21",1
"2009/5/22",1
"2009/5/25",1
"2009/5/26",1
"2009/5/27",1
"2009/6/1",1
"2009/6/2",1
"2009/6/3",1
"2009/6/4",1
"2009/6/5",1
"2009/6/6",1
"2009/6/8",1
"2009/6/9",1
"2009/6/10",1
"2009/6/11",1
"2009/6/12",0.95
"2009/6/15",0.95
"2009/6/16",0.9
"2009/6/17",0.9
"2009/6/18",0.9
"2009/6/19",0.9
"2009/6/22",0.9
"2009/6/23",0.9
"2009/6/24",0.9
"2009/6/25",0.9
"2009/6/26",0.9
"2009/6/29",0.9
"2009/6/30",0.85
"2009/7/1",0.85
"2009/7/2",0.85
"2009/7/3",0.85
"2009/7/6",0.9
"2009/7/7",0.9
"2009/7/8",0.9
"2009/7/9",0.95
"2009/7/10",0.95
"2009/7/13",0.95
"2009/7/14",0.95
"2009/7/15",0.95
"2009/7/16",1
"2009/7/17",0.95
"2009/7/20",0.95
"2009/7/21",0.95
"2009/7/22",0.95
"2009/7/23",0.95
"2009/7/24",0.95
"2009/7/27",0.95
"2009/7/28",0.9
"2009/7/29",0.95
"2009/7/30",0.9
"2009/7/31",0.9
"2009/8/3",0.9
"2009/8/4",0.9
"2009/8/5",1
"2009/8/6",1
"2009/8/10",1
"2009/8/11",1
"2009/8/12",1
"2009/8/13",1
"2009/8/14",1
"2009/8/17",1
"2009/8/18",1
"2009/8/19",1
"2009/8/20",1
"2009/8/21",1
"2009/8/24",1
"2009/8/25",1
"2009/8/26",1
"2009/8/27",1
"2009/8/28",1
"2009/8/31",1
"2009/9/1",1
"2009/9/2",1
"2009/9/3",1
"2009/9/4",1
"2009/9/7",0.95
"2009/9/8",0.95
"2009/9/9",1
"2009/9/10",0.95
"2009/9/11",0.95
"2009/9/14",0.95
"2009/9/15",0.95
"2009/9/16",1
"2009/9/17",1
"2009/9/18",1
"2009/9/21",1
"2009/9/22",1
"2009/9/23",1
"2009/9/24",1
"2009/9/25",1
"2009/9/28",1
"2009/9/29",0.9
"2009/9/30",0.9
"2009/10/1",0.9
"2009/10/2",0.95
"2009/10/5",0.9
"2009/10/6",0.85
"2009/10/7",0.95
"2009/10/8",0.85
"2009/10/9",0.95
"2009/10/12",0.85
"2009/10/13",1
"2009/10/14",0.95
"2009/10/15",1
"2009/10/16",0.85
"2009/10/19",0.75
"2009/10/20",0.8
"2009/10/21",0.8
"2009/10/22",0.95
"2009/10/23",1
"2009/10/26",0.95
"2009/10/27",1
"2009/10/28",1
"2009/10/29",1
"2009/10/30",1
"2009/11/2",1
"2009/11/3",1
"2009/11/4",1
"2009/11/5",1
"2009/11/6",1
"2009/11/9",0.95
"2009/11/10",0.95
"2009/11/11",0.95
"2009/11/12",0.95
"2009/11/13",0.95
"2009/11/16",0.9
"2009/11/17",0.9
"2009/11/18",0.9
"2009/11/19",0.9
"2009/11/20",0.9
"2009/11/23",0.9
"2009/11/24",0.9
"2009/11/25",0.9
"2009/11/26",0.9
"2009/11/27",0.95
"2009/11/30",1
"2009/12/1",1
"2009/12/2",1
"2009/12/3",1
"2009/12/4",1
"2009/12/7",1
"2009/12/8",1
"2009/12/9",1
"2009/12/10",1
"2009/12/11",1
"2009/12/14",1
"2009/12/15",1
"2009/12/16",1
"2009/12/17",1
"2009/12/18",1
"2009/12/21",1
"2009/12/22",1
"2009/12/23",1
"2009/12/24",1
"2009/12/25",1
"2009/12/28",1
"2009/12/29",1
"2009/12/30",1
"2009/12/31",1
"2010/1/4",1
"2010/1/5",1
"2010/1/6",1
"2010/1/7",1
"2010/1/8",1
"2010/1/11",1
"2010/1/12",1
"2010/1/13",1
"2010/1/14",1
"2010/1/15",1
"2010/1/18",1
"2010/1/19",1
"2010/1/20",1
"2010/1/21",1
"2010/1/22",0.9
"2010/1/25",0.9
"2010/1/26",0.9
